RunNumber,DataCategory,Date,TriggerNumbers,TriggerRates/Hz,RunType,TriggerType,LTBthrd:Nhit >,LTBthrd:Esum,LTBthrd:LowEsum,LTBthrd:HighEsum,PeriodFreq/ Hz,FEEthrd,FEEMaxHitPerCh,PMTHV,ACULEDfrequency/Hz,ACULED:NAME,LEDdriveVoltage/V,position/m,2ndLEDName,DoublePulseInterval/us,2ndLEDdriveVoltage/V,position/m,Comments,Description
1506,elec test data,06/17/2010,20000,~,pedestal,period,0,0,0,0,1000,0,7,,0,NULL,0,~,NULL,0,0,~,"pulse 75mv 10ns 1kHz to bd 5 channel 14, 15",FEE channel noise test related to trigger
1507,error,06/17/2010,0,~,pedestal,period,0,0,0,0,1000,0,7,,0,NULL,0,~,NULL,0,0,~,"pulse 75mv 10ns to bd 5 channel 14, 15",FEE channel noise test related to trigger
1508,elec test data,06/17/2010,20000,~,pedestal,period,0,0,0,0,1000,0,7,,0,NULL,0,~,NULL,0,0,~,no signal input,FEE channel noise test related to trigger
1509,elec test data,06/17/2010,20000,~,FEEdiag,manual,0,0,0,0,0,750,7,,0,NULL,0,~,NULL,0,0,~,no signal input,FEE channel noise test related to trigger
1510,elec test data,06/17/2010,0,~,Physic,NHit,0,0,0,0,0,750,7,,0,NULL,0,~,NULL,0,0,~,no signal input,FEE channel noise test related to trigger
1511,error,06/17/2010,0,~,Physic,NHit,0,0,0,0,0,750,7,,0,NULL,0,~,NULL,0,0,~,"pulse 75mv 10ns to bd 5 channel 14, 15",FEE channel noise test related to trigger
1512,elec test data,06/17/2010,?,~,Physic,NHit,0,0,0,0,0,750,7,,0,NULL,0,~,NULL,0,0,~,"pulse 75mv 10ns to bd 5 channel 14, 15",FEE channel noise test related to trigger
1513,error,06/17/2010,0,~,Physic,NHit,0,0,0,0,0,750,7,,0,NULL,0,~,NULL,0,0,~,?,FEE channel noise test related to trigger
1514,elec test data,06/17/2010,?,~,Physic,NHit,0,0,0,0,0,750,7,,0,NULL,0,~,NULL,0,0,~,?,FEE channel noise test related to trigger
1515,elec test data,06/17/2010,?,~,Physic,NHit,1,0,0,0,0,750,7,,0,NULL,0,~,NULL,0,0,~,?,FEE channel noise test related to trigger
