RunNumber,DataCategory,Date,TriggerNumbers,TriggerRates/Hz,RunType,TriggerType,LTBthrd:Nhit >,LTBthrd:Esum,LTBthrd:LowEsum,LTBthrd:HighEsum,PeriodFreq/ Hz,FEEthrd,FEEMaxHitPerCh,PMTHV,ACULEDfrequency/Hz,ACULED:NAME,LEDdriveVoltage/V,position/m,2ndLEDName,DoublePulseInterval/us,2ndLEDdriveVoltage/V,position/m,Comments,Description,,
6568,system test,10/25/2010,,960,Physics,Npmt,45,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,use UTC+8hours as the LTB time,,
6569,system test,10/25/2010,,2000,Physics,Npmt,30,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,use UTC+8hours as the LTB time,,
6570,system test,10/25/2010,,2900,Physics,Npmt,20,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,use UTC+8hours as the LTB time,,
6571,system test,10/25/2010,,3200,Physics,Npmt,10,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,use UTC+8hours as the LTB time,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6572,dark AD,10/26/2010,,3200,Physics,Npmt,10,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,use UTC+8hours as the LTB time,,
6573,Scintillator Ball at 'AD Center',10/26/2010,,3200,Physics,Npmt,10,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,use UTC+8hours as the LTB time,,
6574,Scintillator Ball at 'AD Center',10/26/2010,,3200,Physics,Npmt,5,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,use UTC+8hours as the LTB time,,
6575,dark AD,10/26/2010,,3200,Physics,Npmt,5,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,use UTC+8hours as the LTB time,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6576,dark AD,10/27/2010,,3200,Physics,Npmt,5,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,use UTC+8hours as the LTB time,,
6577,dark AD,10/27/2010,,3200,Physics,Npmt,4,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,use UTC+8hours as the LTB time,,
6578,dark AD,10/27/2010,,3200,Physics,Npmt,3,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,use UTC+8hours as the LTB time,,
6579,dark AD,10/27/2010,,3200,Physics,Npmt,2,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,use UTC+8hours as the LTB time,,
6580,dark AD,10/27/2010,,3200,Physics,Npmt,2,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,use UTC+8hours as the LTB time,,
6581,dark AD,10/27/2010,,3200,Physics,Npmt,1,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,use UTC+8hours as the LTB time,,
6582,dark AD,10/27/2010,,3200,Physics,Npmt,0,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,use UTC+8hours as the LTB time,,
6583,dark AD,10/27/2010,,2000,Physics,period,~,~,~,~,2000,750,5,2.00E+07,~,~,~,~,~,~,~,~,,recover to normal UTC time,,
6584,dark AD,10/27/2010,3430000,2000,Physics,period,~,~,~,~,2000,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0xff,recover to normal UTC time,,
6585,Scintillator Ball at 'AD Center',10/27/2010,3600000,2000,Physics,period,~,~,~,~,2000,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0xff,recover to normal UTC time,,
6586,"Scintillator Ball at 'AD Center',FADC data check error",10/27/2010,,3200,Physics,Npmt,5,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0xff,recover to normal UTC time,,
