RunNumber,DataCategory,Date,TriggerNumbers,TriggerRates/Hz,RunType,TriggerType,LTBthrd:Nhit >,LTBthrd:Esum,LTBthrd:LowEsum,LTBthrd:HighEsum,PeriodFreq/ Hz,FEEthrd,FEEMaxHitPerCh,PMTHV,ACULEDfrequency/Hz,ACULED:NAME,LEDdriveVoltage/V,position/m,2ndLEDName,DoublePulseInterval/us,2ndLEDdriveVoltage/V,position/m,Comments,Description,,,,
5462,"single PMT signal to bd15ch0, HV on",09/20/2010,,3200,Physics,Npmt,0,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,"FADC trigger latency,60*24ns,",one PMT channel signal,only PMT signal to bd15ch0 ,,
5463,"single PMT signal to bd15ch0,HV off",09/20/2010,,3200,Physics,Npmt,0,~,~,~,~,750,5,~,~,~,~,~,~,~,~,0,,"FADC trigger latency,60*25ns,",one PMT channel signal,"only PMT signal to bd15ch0 , HV off",,
5464,"single PMT signal to bd15ch0,HV off",09/20/2010,,0,Physics,Npmt,0,~,~,~,~,1500,5,~,~,~,~,~,~,~,~,0,,"FADC trigger latency,60*25ns,",one PMT channel signal,"only PMT signal to bd15ch0 , HV off",,
5465,"single PMT signal to bd15ch0,HV off",09/20/2010,,0,Physics,Npmt,0,~,~,~,~,1000,5,~,~,~,~,~,~,~,~,0,,"FADC trigger latency,60*25ns,",one PMT channel signal,"only PMT signal to bd15ch0 , HV off",,
5466,"single PMT signal to bd15ch0,HV off",09/20/2010,,0~3000,Physics,Npmt,0,~,~,~,~,750,5,~,~,~,~,~,~,~,~,0,,"FADC trigger latency,60*25ns,",one PMT channel signal,"only PMT signal to bd15ch0 , HV off",,
5467,"single PMT signal to bd15ch0,HV off",09/20/2010,,0,Physics,Npmt,1,~,~,~,~,750,5,~,~,~,~,~,~,~,~,0,,"FADC trigger latency,60*25ns,",one PMT channel signal,"only PMT signal to bd15ch0 , HV off",,
5468,"single PMT signal to bd15ch0,HV on",09/20/2010,,~0,Physics,Npmt,1,~,~,~,~,750,5,~,~,~,~,~,~,~,~,0,,"FADC trigger latency,60*25ns,",one PMT channel signal,"only PMT signal to bd15ch0 , HV off",,
5469,"single PMT signal to bd15ch0,HV on",09/20/2010,,~0,Physics,Npmt,1,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,"FADC trigger latency,60*25ns,",one PMT channel signal,"only PMT signal to bd15ch0 , HV off",,
5470,"muon + noise, all HV on",09/20/2010,,1540,Physics,Npmt,35,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,"FADC trigger latency,60*25ns,",one PMT channel signal,"only PMT signal to bd15ch0 , HV off",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5471,Trigger threshold scan with muon + noise,9/21/10,,3200,Physics,Npmt,5,~,~,~,~,750,5,2.00E+07,~ ,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e63"
5472,Trigger threshold scan with muon + noise,9/21/10,,3040,Physics,Npmt,10,~,~,~,~,750,5,2.00E+07,~ ,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e62"
5473,Trigger threshold scan with muon + noise,9/21/10,,2990,Physics,Npmt,15,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e61"
5474,Trigger threshold scan with muon + noise,9/21/10,,2780,Physics,Npmt,20,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e60"
5475,Trigger threshold scan with muon + noise,9/21/10,,2400,Physics,Npmt,25,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e59"
5476,Trigger threshold scan with muon + noise,9/21/10,,1900,Physics,Npmt,30,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e58"
5477,Trigger threshold scan with muon + noise,9/21/10,,1530,Physics,Npmt,35,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e57"
5478,Trigger threshold scan with muon + noise,9/21/10,,1200,Physics,Npmt,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e56"
5479,Trigger threshold scan with muon + noise,9/21/10,,940,Physics,Npmt,45,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e55"
5480,Trigger threshold scan with muon + noise,9/21/10,,725,Physics,Npmt,50,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,0,,Trigger threshold versus trigger rates scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e54"
