RunNumber,DataCategory,Date,TriggerNumbers,TriggerRates/Hz,RunType,TriggerType,LTBthrd:Nhit >,LTBthrd:Esum,LTBthrd:LowEsum,LTBthrd:HighEsum,PeriodFreq/ Hz,FEEthrd,FEEMaxHitPerCh,PMTHV,ACULEDfrequency/Hz,ACULED:NAME,LEDdriveVoltage/V,position/m,2ndLEDName,DoublePulseInterval/us,2ndLEDdriveVoltage/V,position/m,Comments,Description
6872,pedestal,2011-Jan-22,~,1000,pedestal,period,~,~,~,~,1000,0,5,2.00E+07,~,~,~,~,~,~,~,~,~,~
6873,trigger scan: Nhit,2011-Jan-22,~,480,physics,Nhit,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,~,
6874,trigger scan: Nhit,2011-Jan-22,~,360,physics,Nhit,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,~,
6875,trigger scan: Nhit,2011-Jan-22,~,282,physics,Nhit,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,~,
6876,trigger scan: Nhit,2011-Jan-22,~,200,physics,Nhit,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,~,
6877,trigger scan: Nhit,2011-Jan-22,~,125,physics,Nhit,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,~,
6878,trigger scan: totalESum,2011-Jan-22,~,510,physics,totalESum,~,40,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,~,
6879,trigger scan: totalESum,2011-Jan-22,~,190,physics,totalESum,~,60,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,~,
6880,Cross trigger in test,2011-Jan-22,~,0,physics,crossIn,~,~,~,~,~,750,5,2.00E+07,500,MO bottom,-5,~,~,~,~,~,"actually, the LED is MO top because of the wrong cable connection  around the AD on aluminium driver box; there are no cross trigger in because the TTL to NIM inverter and attenuator has too large attenuation to the TTL pulse which introduce no trigger into LTB",
6881,Cross trigger in test,2011-Jan-22,~,500,physics,crossIn,~,~,~,~,~,750,5,2.00E+07,500,MO bottom,-5,~,~,~,~,~,"actually, the LED is MO top because of the wrong cable connection  around the AD on aluminium driver box; remove the attenuator of the level inverter ",
