RunNumber,DataCategory,Date,TriggerNumbers,TriggerRates/Hz,RunType,TriggerType,LTBthrd:Nhit >,LTBthrd:Esum,LTBthrd:LowEsum,LTBthrd:HighEsum,PeriodFreq/ Hz,FEEthrd,FEEMaxHitPerCh,PMTHV,MuCalLED status,MuCalLED: voltage/V,MuCalLED: frequency/ Hz,Comments,Description,,
6791,trigger scan,1/8/11,~,0,physics,Nhit,10,~,~,~,~,750,5,1.00E+07,~,~,~,only one FEE board enabled,~,,
6792,trigger scan,1/8/11,~,0,physics,Nhit,5,~,~,~,~,750,5,1.00E+07,~,~,~,only one FEE board enabled,~,,
6793,trigger scan,1/8/11,~,0,physics,Nhit,5,~,~,~,~,750,5,1.00E+07,~,~,~,3 FEE boards,~,,
6794,trigger scan,1/8/11,~,1440,physics,Nhit,2,~,~,~,~,750,5,1.00E+07,~,~,~,~,PMT like signal input to slot 15 channel 16,,
6795,trigger scan,1/8/11,~,800,physics,Nhit,4,~,~,~,~,750,5,1.00E+07,LED 1,-11.5,100,~,PMT like signal input to slot 15 channel 17,,
6796,trigger scan,1/8/11,~,5,physics,Nhit,4,~,~,~,~,750,5,1.00E+07,~,~,~,~,PMT like signal input to slot 15 channel 18,,
6797,trigger scan,1/8/11,~,540,physics,Nhit,9,~,~,~,~,750,5,1.00E+07,LED 1,-11.5,100,~,PMT like signal input to slot 15 channel 19,,
6798,trigger scan,1/8/11,~,500,physics,Nhit,9,~,~,~,~,750,5,1.00E+07,LED 1,-10,100,~,PMT like signal input to slot 15 channel 20,,
6799,test,1/8/11,~,630,physics,Nhit,9,~,~,~,~,750,5,1.00E+07,LED 11,-10,100,PMT like signal test,PMT like signal input to slot 15 channel 21,,
6800,system test,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,,,
6801,system test,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,,,
6802,system test,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,,,
6803,system test,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,,,
6804,system test,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,,,
6805,system test,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,,,
6806,system test,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,,,
6807,system test,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,,,
6808,system test,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,,,
6809,system test,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,,,
